PF;Joao Gomes Silva;joaogomes@topeventos.com;12312312312;31072002;Solteiro
PJ;Top Eventos;topeventos@producoes.com;12061264045149;1233123;TOP EVENTOS PRODUCOES LTDA
PF;Vini Medeiros;vini@dataside.com;12312312312;26052001;Solteiro
T;2120210610091532;200.000000;DEPOSITO;07-10-2021
T;2120210610091532;-500.000000;RETIRADA;06-10-2021
T;2120210610091532;100.000000;DEPOSITO;06-10-2021
C;2120210610091532;Joao Gomes Silva;-200.000000;300.000000
T;3120210610091646;600.000000;DEPOSITO;08-10-2021
T;3120210610091646;-400.000000;RETIRADA;06-10-2021
T;3120210610091646;1000.000000;DEPOSITO;06-10-2021
T;3120210610091646;-240.000000;TRANSFERENCIA;06-10-2021
C;3120210610091646;Joao Gomes Silva;960.000000;12
T;1220210610090524;800.000000;DEPOSITO;02-10-2021
C;1220210610090524;Top Eventos;800.000000;
T;2220210610091212;900.000000;DEPOSITO;12-09-2021
T;2220210610091212;240.000000;TRANSFERENCIA;06-10-2021
C;2220210610091212;Top Eventos;840.000000;900.000000
T;3220210610091816;450.000000;DEPOSITO;17-05-2021
C;3220210610091816;Top Eventos;450.000000;17
T;3120210610581849;1200.000000;DEPOSITO;06-10-2021
T;3120210610581849;-260.000000;RETIRADA;06-10-2021
C;3120210610581849;Vini Medeiros;940.000000;15
